task_idx,x,y,region_z_surface,region_height_offset,cluster_label
0,834.044009405148,1440.6489868843162,-0.016466640179023745,0.774678314811883,1
1,0.22874963468977327,604.6651452636795,-0.32654528358885265,27.153421317595637,4
2,293.5117816342261,184.6771895375956,6.170154229739845,8.465124640002362,0
3,372.5204227553418,691.1214540860955,4.075152696197584,10.621866374889049,4
4,793.5349484613399,1077.6334680067139,1.1782435113821654,19.66292637121353,1
5,838.3890288065896,1370.439000793519,0.4868414989027847,2.1345018046832154,1
6,408.9044994630349,1756.2348727818908,-0.40833843086988075,22.964704219680524,5
7,54.77518639585233,1340.9350203568044,-2.6878257732106183,5.869142996232406,7
8,834.6096047342539,1117.3796568915034,2.2863932637160715,23.572221476131368,1
9,280.77387719046754,396.20297816975756,3.288316774983257,27.99033440083725,0
10,1601.4891373510734,1936.5231514387951,6.535873871907042,4.093377153113034,3
11,626.8483563184857,1384.6452313386283,3.4524195935045103,16.56223951278273,1
12,1752.7783045920767,1789.2133270076947,7.590306869990424,27.776006309109803,3
13,170.08842273955582,78.10956646576473,5.701941330417571,16.567170781076108,0
14,339.6608391291378,1756.2850068588264,-1.3776532965500525,1.9981383578434864,5
15,196.6936676661002,842.2152500101043,3.1822697620868867,21.435856236620463,4
16,1915.779060301004,1066.330569946034,5.397273545522862,26.551785808791553,6
17,1383.7542279009467,631.0312620121259,5.951442855723682,20.595564482332342,2
18,1373.0018553631674,1669.251343794746,18.188870652947646,37.78379023963253,3
19,36.57655468838361,1500.288629889935,-2.7655601433052652,23.462201620079718,7
20,1977.7221778129895,1496.331308759679,2.8150893784521487,36.13607661151534,6
21,560.8879841288103,1578.558656902977,4.194670921693324,5.498988165849501,5
22,206.45201315528405,895.7870523518103,3.8109891621819934,5.571053890030342,4
23,1817.191006186191,587.228296747359,-1.308335024208625,32.29565154838095,2
24,575.5506771726975,260.05714423655536,15.407570566752016,15.907073479421342,0
