task_idx,x,y,region_z_surface,region_height_offset,cluster_label
0,935.6360956307435,854.984189121061,8.534432869078222,39.26486914492067,1
1,802.1366108689922,1164.4300842786142,0.5074464215623357,27.67668917107139,1
2,1457.9413387522225,1568.584004699252,20.363150734322605,10.720303274292817,0
3,1309.5983751208357,1124.9323293520263,1.8503651677904642,28.250529782052645,7
4,824.785216440594,639.8301240877091,6.441362215670831,26.453845375262787,1
5,572.4955856523703,592.3534368061505,16.93252371566562,1.7316064349562987,1
6,1365.5057323288863,1524.8823643191588,20.012757633796824,14.459503385669517,0
7,1195.2395739799524,445.72778450712167,2.125149682353335,30.94911933609175,3
8,388.7900410094458,1531.3722375415077,2.5209177932801854,3.1409165933641425,2
9,1957.3876379500907,31.819923185125056,5.6206612599452335,35.375364671034866,5
10,497.7962839651595,1584.6257435414957,2.575206984217713,37.23473185018233,2
11,1438.3305955067096,491.9599154788696,7.100837180942601,34.123420495595596,3
12,1109.7847621516905,1171.1715881980413,4.658394253361279,4.69510416403792,7
13,1442.7685532944593,927.3474224254021,-1.4960359435836856,22.606939268076474,7
14,809.6969430454454,616.0189416417792,7.999651128303872,28.302397913288928,1
15,476.61781681364545,185.00671630120792,8.981576157415565,35.51920359760703,4
16,1291.7667748352847,1339.1408970804723,11.617358195999914,3.8310411719925153,7
17,1374.6869478336944,6.291440928744896,-2.0628559906378072,32.63082338197314,3
18,876.5060650419723,245.1067298227263,7.560281759282182,11.120653266751281,3
19,1053.2186714126149,1959.4792418037487,6.874665339064078,23.69149543063655,6
20,998.5540219266762,749.2999585470415,4.69849445766712,28.791828374956786,1
21,1627.679984789191,1936.402876489399,7.105031231386733,31.080765974416703,0
22,574.2467550575907,1606.0000794930017,3.436849510598849,11.786593959954779,2
23,1992.2828747265396,223.64847950321564,4.142297701137067,24.295061557954995,5
24,1062.0947091744442,1627.0531589700006,4.008200512877409,11.498914968093219,6
25,752.5883673137963,891.5490525494505,0.9335472232771126,39.93267001137879,1
26,1501.8051193291333,196.69275789684048,1.6600650469646316,32.58022431769403,3
27,721.0526099929217,1127.4125105729115,-1.1425594708817548,16.559116650774698,1
28,477.17119188516756,1679.9075434440658,0.9000824617267833,35.165687426569434,2
29,1531.7019845798786,1931.0851591846774,4.275587923489009,29.300044604338147,0
30,1045.9761500274574,213.04931598118614,4.529119091541994,37.149877229110245,3
31,1873.234046122974,1668.4719789926983,2.817215337569831,6.8644277698769685,0
32,1088.8363220064753,1672.6045547708081,6.142144977921304,11.793400196834964,6
33,1763.3818387078848,1552.1622747337954,3.487302160845765,3.749467042985688,0
34,1142.5079540848349,1230.5974429321648,4.443934149832385,12.719241267148508,7
35,1688.7813652867173,1244.4332726278676,5.914618106285752,15.24754454986152,7
36,412.95991837526327,1382.9768471079396,1.2550369799154653,25.30850158475014,2
37,1064.0275001547632,526.4941178003791,-1.2419909998670893,18.86079753394331,3
38,1.5730830592728395,470.99552259982727,-0.07994122414995436,28.70675923108188,4
39,1347.133395952064,1756.6403993618896,13.05993684798676,10.76894134006858,0
40,1661.4051384811355,216.21477117702082,3.707400133127255,6.922268767287378,5
41,142.2499590456765,1523.1846237580103,-4.330097323929239,15.16490411101461,2
42,569.6667442366135,543.6061049932425,20.14997372193298,17.52325749711418,1
43,4.000601216863409,197.0780212811061,0.15436624585992395,16.885062712633342,4
44,271.19409478470624,318.7204124583931,4.211861118125771,36.542787466461,4
45,890.6272052307305,1628.2716294476404,-0.06871676139001004,10.782680733878172,6
46,1624.596230736895,1819.9792433648963,8.802309367389958,14.081736107806275,0
47,887.1840772406674,1417.4210158900266,-0.8459003545773531,8.608386406533079,6
48,976.6682362408974,99.68511626904197,7.473554298347469,14.876920456170915,3
49,160.8628679390942,491.88467043227814,-2.6240578152972773,15.59421563324436,4
